Evento;Reloj;RND Llegada EP;Tiempo entre llegadas EP;Proxima llegada EP;RND Llegada R;Tiempo entre llegadas R;Proxima llegada R;RND Llegada V;Tiempo entre llegadas V;Proxima llegada V;RND Llegada AE;Tiempo entre llegadas AE;Proxima llegada AE;RND Llegada P;Tiempo entre llegadas P;Proxima llegada P;RND fin EP;Tiempo atencion EP;Fin envio 1;Fin envio 2;Fin envio 3;RND fin R;Tiempo atencion R;Fin reclamo 1;Fin reclamo 2;Fin reclamo 3;RND fin V;Tiempo atencion V;Fin venta 1;Fin venta 2;RND fin AE;Tiempo atencion AE;Fin atencion 1;Fin atencion 2;RND fin P;Tiempo atencion P;Fin postal;EP COLA 1;EP Estado 1;EP COLA 2;EP Estado 2;EP COLA 3;EP Estado 3;R COLA 1;R Estado 1;R COLA 2;R Estado 2;R COLA 3;R Estado 3;V COLA 1;V Estado 1;V COLA 2;V Estado 2;AE COLA 1;AE Estado 1;AE COLA 2;AE Estado 2;P COLA 1;P Estado 1;AC tiempo espera EP;AC ocupacion EP;CANT EP;AC tiempo espera R;AC ocupacion R;CANT R;AC tiempo espera V;AC ocupacion V;CANT V;AC tiempo espera AE;AC ocupacion AE;CANT AE;AC tiempo espera P;AC ocupacion P;CANT P;Estado 1;HEspera 1;HAtencion 1;Estado 2;HEspera 2;HAtencion 2;Estado 3;HEspera 3;HAtencion 3;Estado 4;HEspera 4;HAtencion 4;Estado 5;HEspera 5;HAtencion 5;Estado 6;HEspera 6;HAtencion 6;Estado 7;HEspera 7;HAtencion 7;Estado 8;HEspera 8;HAtencion 8;Estado 9;HEspera 9;HAtencion 9;Estado 10;HEspera 10;HAtencion 10;Estado 11;HEspera 11;HAtencion 11;Estado 12;HEspera 12;HAtencion 12;Estado 13;HEspera 13;HAtencion 13;Estado 14;HEspera 14;HAtencion 14;Estado 15;HEspera 15;HAtencion 15;Estado 16;HEspera 16;HAtencion 16;Estado 17;HEspera 17;HAtencion 17;Estado 18;HEspera 18;HAtencion 18;Estado 19;HEspera 19;HAtencion 19;Estado 20;HEspera 20;HAtencion 20;Estado 21;HEspera 21;HAtencion 21;Estado 22;HEspera 22;HAtencion 22;Estado 23;HEspera 23;HAtencion 23;Estado 24;HEspera 24;HAtencion 24;Estado 25;HEspera 25;HAtencion 25;Estado 26;HEspera 26;HAtencion 26;Estado 27;HEspera 27;HAtencion 27;Estado 28;HEspera 28;HAtencion 28;Estado 29;HEspera 29;HAtencion 29;Estado 30;HEspera 30;HAtencion 30;Estado 31;HEspera 31;HAtencion 31;Estado 32;HEspera 32;HAtencion 32;Estado 33;HEspera 33;HAtencion 33
fin_envio1;3,02;0;0;13,19;0;0;4,65;0;0;4,46;0;0;3,16;0;0;4,21;0;0;0;8,61;0;0;0;0;17,72;3,68;0;0;0;6,74;0;0;0;0;0;0;0;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;1,8;1;0;1,7;1;0;1,87;1;0;0;0;0;0;0;Eliminado;0;0,65;Eliminado;0;0,84;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;SR3;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_AE;3,16;0;0;13,19;0;0;4,65;0;0;4,46;0,93;15,95;19,11;0;0;4,21;0;0;0;8,61;0;0;0;0;17,72;3,68;0;0;0;6,74;0,07;0,87;4,03;0;0;0;0;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;1,8;1;0;1,7;1;0;1,87;1;0;0;0;0;0;0;SAE1;0;3,16;Eliminado;0;0,84;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;SR3;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_reclamo3;3,68;0;0;13,19;0;0;4,65;0;0;4,46;0;0;19,11;0;0;4,21;0;0;0;8,61;0;0;0;0;17,72;0;0;0;0;6,74;0;0;4,03;0;0;0;0;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;1,8;1;0;3,18;2;0;1,87;1;0;0;0;0;0;0;SAE1;0;3,16;Eliminado;0;0,84;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;Eliminado;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_AE1;4,03;0;0;13,19;0;0;4,65;0;0;4,46;0;0;19,11;0;0;4,21;0;0;0;8,61;0;0;0;0;17,72;0;0;0;0;6,74;0;0;0;0;0;0;0;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;1,8;1;0;3,18;2;0;1,87;1;0;0,87;1;0;0;0;Eliminado;0;3,16;Eliminado;0;0,84;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;Eliminado;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_postales;4,21;0;0;13,19;0;0;4,65;0;0;4,46;0;0;19,11;0,35;3,23;7,44;0;0;0;8,61;0;0;0;0;17,72;0;0;0;0;6,74;0;0;0;0;0,87;40,8;45,01;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;1,8;1;0;3,18;2;0;1,87;1;0;0,87;1;0;0;0;SP;0;4,21;Eliminado;0;0,84;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;Eliminado;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;4,46;0;0;13,19;0;0;4,65;0,74;2,69;7,15;0;0;19,11;0;0;7,44;0;0;0;8,61;0;0;0;0;17,72;0;0;0;4,46;6,74;0;0;0;0;0;0;45,01;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;1,8;1;0;3,18;2;0;1,87;1;0;0,87;1;0;0;0;SP;0;4,21;SV1;0;4,46;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;Eliminado;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta1;4,46;0;0;13,19;0;0;4,65;0;0;7,15;0;0;19,11;0;0;7,44;0;0;0;8,61;0;0;0;0;17,72;0;0;0;0;6,74;0;0;0;0;0;0;45,01;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;1,8;1;0;3,18;2;0;1,87;2;0;0,87;1;0;0;0;SP;0;4,21;Eliminado;0;4,46;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;Eliminado;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_reclamo;4,65;0;0;13,19;0,08;0,33;4,98;0;0;7,15;0;0;19,11;0;0;7,44;0;0;0;8,61;0;0;0;4,65;17,72;0;0;0;0;6,74;0;0;0;0;0;0;45,01;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;1,8;1;0;3,18;2;0;1,87;2;0;0,87;1;0;0;0;SP;0;4,21;SR1;0;4,65;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;Eliminado;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_reclamo1;4,65;0;0;13,19;0;0;4,98;0;0;7,15;0;0;19,11;0;0;7,44;0;0;0;8,61;0;0;0;0;17,72;0;0;0;0;6,74;0;0;0;0;0;0;45,01;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;1,8;1;0;3,18;3;0;1,87;2;0;0,87;1;0;0;0;SP;0;4,21;Eliminado;0;4,65;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;Eliminado;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_reclamo;4,98;0;0;13,19;0,05;0,2;5,18;0;0;7,15;0;0;19,11;0;0;7,44;0;0;0;8,61;0;0,33;3,43;8,41;17,72;0;0;0;0;6,74;0;0;0;0;0;0;45,01;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;1,8;1;0;3,18;3;0;1,87;2;0;0,87;1;0;0;0;SP;0;4,21;SR1;0;4,98;SR2;0;0,88;Eliminado;0;1,22;SV2;0;1,99;SE2;0;2,14;Eliminado;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
