Evento;Reloj;RND Llegada EP;Tiempo entre llegadas EP;Prox. llegada EP;RND Llegada R;Tiempo entre llegadas R;Prox. llegada R;RND Llegada V;Tiempo entre llegadas V;Prox. llegada V;RND Llegada AE;Tiempo entre llegadas AE;Prox. llegada AE;RND Llegada P;Tiempo entre llegadas P;Prox. llegada P;RND fin EP;Tiempo atencion EP;Fin envio 1;Fin envio 2;Fin envio 3;RND fin R;Tiempo atencion R;Fin reclamo 1;Fin reclamo 2;RND fin V;Tiempo atencion V;Fin venta 1;Fin venta 2;Fin venta 3;RND fin AE;Tiempo atencion AE;Fin atencion 1;Fin atencion 2;Prox ausencia;Fin ausencia;RND fin P;Tiempo atencion P;Fin postal;EP COLA 1;EP Estado 1;EP COLA 2;EP Estado 2;EP COLA 3;EP Estado 3;R COLA 1;R Estado 1;R COLA 2;R Estado 2;V COLA 1;V Estado 1;V COLA 2;V Estado 2;V COLA 3;V Estado 3;AE COLA 1;AE Estado 1;AE COLA 2;AE Estado 2;P COLA 1;P Estado 1;AC tiempo espera EP;AC ocupacion EP;CANT EP;AC tiempo espera R;AC ocupacion R;CANT R;AC tiempo espera V;AC ocupacion V;CANT V;AC tiempo espera AE;AC ocupacion AE;CANT AE;AC tiempo espera P;AC ocupacion P;CANT P;Estado 1;HEspera 1;HAtencion 1;Estado 2;HEspera 2;HAtencion 2;Estado 3;HEspera 3;HAtencion 3;Estado 4;HEspera 4;HAtencion 4;Estado 5;HEspera 5;HAtencion 5;Estado 6;HEspera 6;HAtencion 6;Estado 7;HEspera 7;HAtencion 7;Estado 8;HEspera 8;HAtencion 8;Estado 9;HEspera 9;HAtencion 9;Estado 10;HEspera 10;HAtencion 10;Estado 11;HEspera 11;HAtencion 11;Estado 12;HEspera 12;HAtencion 12;Estado 13;HEspera 13;HAtencion 13;Estado 14;HEspera 14;HAtencion 14;Estado 15;HEspera 15;HAtencion 15;Estado 16;HEspera 16;HAtencion 16;Estado 17;HEspera 17;HAtencion 17;Estado 18;HEspera 18;HAtencion 18;Estado 19;HEspera 19;HAtencion 19;Estado 20;HEspera 20;HAtencion 20;Estado 21;HEspera 21;HAtencion 21;Estado 22;HEspera 22;HAtencion 22;Estado 23;HEspera 23;HAtencion 23;Estado 24;HEspera 24;HAtencion 24;Estado 25;HEspera 25;HAtencion 25;Estado 26;HEspera 26;HAtencion 26;Estado 27;HEspera 27;HAtencion 27;Estado 28;HEspera 28;HAtencion 28;Estado 29;HEspera 29;HAtencion 29;Estado 30;HEspera 30;HAtencion 30;Estado 31;HEspera 31;HAtencion 31;Estado 32;HEspera 32;HAtencion 32;Estado 33;HEspera 33;HAtencion 33;Estado 34;HEspera 34;HAtencion 34;Estado 35;HEspera 35;HAtencion 35;Estado 36;HEspera 36;HAtencion 36;Estado 37;HEspera 37;HAtencion 37;Estado 38;HEspera 38;HAtencion 38;Estado 39;HEspera 39;HAtencion 39;Estado 40;HEspera 40;HAtencion 40;Estado 41;HEspera 41;HAtencion 41
llegada_venta;7,53;0;0;9,43;0;0;8,31;0,63;1,98;9,51;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0;0;0;0;0,93;8,85;16,38;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;3,3;1;0;2,17;1;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;Eliminado;0;2,77;Eliminado;0;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_reclamo;8,31;0;0;9,43;0,62;3,87;12,18;0;0;9,51;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0,11;0,99;9,3;0;0;0;16,38;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;3,3;1;0;2,17;1;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;SR1;0;8,31;Eliminado;0;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_reclamo1;9,3;0;0;9,43;0;0;12,18;0;0;9,51;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0;0;0;0;0;0;16,38;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;4,29;2;0;2,17;1;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;Eliminado;0;8,31;Eliminado;0;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;9,43;0,76;3,42;12,85;0;0;12,18;0;0;9,51;0;0;14,44;0;0;16,5;0,23;1,56;14,31;10,99;0;0;0;0;0;0;0;16,38;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;4,29;2;0;2,17;1;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;SE2;0;9,43;Eliminado;0;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;9,51;0;0;12,85;0;0;12,18;0,21;0,47;9,98;0;0;14,44;0;0;16,5;0;0;14,31;10,99;0;0;0;0;0;0,92;8,41;16,38;17,92;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;4,29;2;0;2,17;1;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;SE2;0;9,43;SV2;0;9,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;9,98;0;0;12,85;0;0;12,18;0,41;1,05;11,03;0;0;14,44;0;0;16,5;0;0;14,31;10,99;0;0;0;0;0;0,14;0,5;16,38;17,92;10,48;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;4,29;2;0;2,17;1;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;SE2;0;9,43;SV2;0;9,51;SV3;0;9,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta3;10,48;0;0;12,85;0;0;12,18;0;0;11,03;0;0;14,44;0;0;16,5;0;0;14,31;10,99;0;0;0;0;0;0;0;16,38;17,92;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;4,29;2;0;2,67;2;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;SE2;0;9,43;SV2;0;9,51;Eliminado;0;9,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_envio2;10,99;0;0;12,85;0;0;12,18;0;0;11,03;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0;0;0;0;0;0;16,38;17,92;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;5,03;2;0;4,29;2;0;2,67;2;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;Eliminado;0;9,43;SV2;0;9,51;Eliminado;0;9,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;11,03;0;0;12,85;0;0;12,18;0,14;0,3;11,33;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0;0;0;0;0,11;0,38;16,38;17,92;11,41;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Ausente;0;Ocupado;0;5,03;2;0;4,29;2;0;2,67;2;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;SV3;0;11,03;SV2;0;9,51;Eliminado;0;9,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;11,33;0;0;12,85;0;0;12,18;0,65;2,09;13,42;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0;0;0;0;0;0;16,38;17,92;11,41;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;1;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Ausente;0;Ocupado;0;5,03;2;0;4,29;2;0;2,67;2;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SV1;0;7,53;SV3;0;11,03;SV2;0;9,51;EV1;11,33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
