Evento;Reloj;RND Llegada EP;Tiempo entre llegadas EP;Proxima llegada EP;RND Llegada R;Tiempo entre llegadas R;Proxima llegada R;RND Llegada V;Tiempo entre llegadas V;Proxima llegada V;RND Llegada AE;Tiempo entre llegadas AE;Proxima llegada AE;RND Llegada P;Tiempo entre llegadas P;Proxima llegada P;RND fin EP;Tiempo atencion EP;Tiempo fin envio 1;Tiempo fin envio 2;Tiempo fin envio 3;RND fin R;Tiempo atencion R;Tiempo fin reclamo 1;Tiempo fin reclamo 2;RND fin V;Tiempo atencion V;Tiempo fin venta 1;Tiempo fin venta 2;Tiempo fin venta 3;RND fin AE;Tiempo atencion AE;Tiempo fin atencion 1;Tiempo fin atencion 2;RND fin P;Tiempo atencion P;Tiempo fin postal;EP COLA 1;EP Estado 1;EP COLA 2;EP Estado 2;EP COLA 3;EP Estado 3;R COLA 1;R Estado 1;R COLA 2;R Estado 2;V COLA 1;V Estado 1;V COLA 2;V Estado 2;V COLA 3;V Estado 3;AE COLA 1;AE Estado 1;AE COLA 2;AE Estado 2;P COLA 1;P Estado 1;AC tiempo espera EP;AC ocupacion EP;CANT EP;AC tiempo espera R;AC ocupacion R;CANT R;AC tiempo espera V;AC ocupacion V;CANT V;AC tiempo espera AE;AC ocupacion AE;CANT AE;AC tiempo espera P;AC ocupacion P;CANT P;Estado 1;HEspera 1;HAtencion 1;Estado 2;HEspera 2;HAtencion 2;Estado 3;HEspera 3;HAtencion 3;Estado 4;HEspera 4;HAtencion 4;Estado 5;HEspera 5;HAtencion 5;Estado 6;HEspera 6;HAtencion 6;Estado 7;HEspera 7;HAtencion 7;Estado 8;HEspera 8;HAtencion 8;Estado 9;HEspera 9;HAtencion 9;Estado 10;HEspera 10;HAtencion 10;Estado 11;HEspera 11;HAtencion 11;Estado 12;HEspera 12;HAtencion 12;Estado 13;HEspera 13;HAtencion 13;Estado 14;HEspera 14;HAtencion 14;Estado 15;HEspera 15;HAtencion 15;Estado 16;HEspera 16;HAtencion 16;Estado 17;HEspera 17;HAtencion 17;Estado 18;HEspera 18;HAtencion 18;Estado 19;HEspera 19;HAtencion 19;Estado 20;HEspera 20;HAtencion 20;Estado 21;HEspera 21;HAtencion 21;Estado 22;HEspera 22;HAtencion 22;Estado 23;HEspera 23;HAtencion 23;Estado 24;HEspera 24;HAtencion 24;Estado 25;HEspera 25;HAtencion 25;Estado 26;HEspera 26;HAtencion 26;Estado 27;HEspera 27;HAtencion 27;Estado 28;HEspera 28;HAtencion 28;Estado 29;HEspera 29;HAtencion 29;Estado 30;HEspera 30;HAtencion 30;Estado 31;HEspera 31;HAtencion 31
llegada_postales;7,25;0;0;11,19;0;0;9,63;0;0;8,56;0;0;9,65;0,93;19,94;27,19;0;0;12,35;0;0;0;0;0;0;0;0;21,12;8,83;0;0;0;0;0;0,38;9,56;16,81;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;5,38;2;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;3,79;SP;0;7,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;8,56;0;0;11,19;0;0;9,63;0,36;0,89;9,45;0;0;9,65;0;0;27,19;0;0;12,35;0;0;0;0;0;0;0,31;1,23;21,12;8,83;9,79;0;0;0;0;0;0;16,81;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;5,38;2;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;3,79;SP;0;7,25;SV3;0;8,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta2;8,83;0;0;11,19;0;0;9,63;0;0;9,45;0;0;9,65;0;0;27,19;0;0;12,35;0;0;0;0;0;0;0;0;21,12;0;9,79;0;0;0;0;0;0;16,81;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;10,42;3;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;Eliminado;-;-;SP;0;7,25;SV3;0;8,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;9,45;0;0;11,19;0;0;9,63;0,4;1,02;10,47;0;0;9,65;0;0;27,19;0;0;12,35;0;0;0;0;0;0;0,28;1,09;21,12;10,54;9,79;0;0;0;0;0;0;16,81;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;10,42;3;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;9,45;SP;0;7,25;SV3;0;8,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_reclamo;9,63;0;0;11,19;0,67;4,43;14,06;0;0;10,47;0;0;9,65;0;0;27,19;0;0;12,35;0;0;0,96;27,58;37,21;0;0;0;21,12;10,54;9,79;0;0;0;0;0;0;16,81;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;10,42;3;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;9,45;SP;0;7,25;SV3;0;8,56;SR1;0;9,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_AE;9,65;0;0;11,19;0;0;14,06;0;0;10,47;0,41;3,16;12,81;0;0;27,19;0;0;12,35;0;0;0;0;37,21;0;0;0;21,12;10,54;9,79;0,21;2,82;12,47;0;0;0;16,81;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;10,42;3;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;9,45;SP;0;7,25;SV3;0;8,56;SR1;0;9,63;SAE1;0;9,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta3;9,79;0;0;11,19;0;0;14,06;0;0;10,47;0;0;12,81;0;0;27,19;0;0;12,35;0;0;0;0;37,21;0;0;0;21,12;10,54;0;0;0;12,47;0;0;0;16,81;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;11,65;4;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;9,45;SP;0;7,25;Eliminado;-;-;SR1;0;9,63;SAE1;0;9,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;10,47;0;0;11,19;0;0;14,06;0,96;6,43;16,9;0;0;12,81;0;0;27,19;0;0;12,35;0;0;0;0;37,21;0;0,36;1,48;21,12;10,54;11,95;0;0;12,47;0;0;0;16,81;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;11,65;4;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;9,45;SP;0;7,25;SV3;0;10,47;SR1;0;9,63;SAE1;0;9,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta2;10,54;0;0;11,19;0;0;14,06;0;0;16,9;0;0;12,81;0;0;27,19;0;0;12,35;0;0;0;0;37,21;0;0;0;21,12;0;11,95;0;0;12,47;0;0;0;16,81;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;12,73;5;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;Eliminado;-;-;SP;0;7,25;SV3;0;10,47;SR1;0;9,63;SAE1;0;9,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;11,19;0,29;0,82;12,01;0;0;14,06;0;0;16,9;0;0;12,81;0;0;27,19;0,51;4,28;12,35;15,47;0;0;0;37,21;0;0;0;21,12;0;11,95;0;0;12,47;0;0;0;16,81;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;0,9;1;0;0;0;0;12,73;5;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SE2;0;11,19;SP;0;7,25;SV3;0;10,47;SR1;0;9,63;SAE1;0;9,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
